date,variable,description,universe,usProp,usPropSE,usCount,usCountSE,ALProp,ALPropSE,ALCount,ALCountSE,AKProp,AKPropSE,AKCount,AKCountSE,AZProp,AZPropSE,AZCount,AZCountSE,ARProp,ARPropSE,ARCount,ARCountSE,CAProp,CAPropSE,CACount,CACountSE,COProp,COPropSE,COCount,COCountSE,CTProp,CTPropSE,CTCount,CTCountSE,DEProp,DEPropSE,DECount,DECountSE,DCProp,DCPropSE,DCCount,DCCountSE,FLProp,FLPropSE,FLCount,FLCountSE,GAProp,GAPropSE,GACount,GACountSE,HIProp,HIPropSE,HICount,HICountSE,IDProp,IDPropSE,IDCount,IDCountSE,ILProp,ILPropSE,ILCount,ILCountSE,INProp,INPropSE,INCount,INCountSE,IAProp,IAPropSE,IACount,IACountSE,KSProp,KSPropSE,KSCount,KSCountSE,KYProp,KYPropSE,KYCount,KYCountSE,LAProp,LAPropSE,LACount,LACountSE,MEProp,MEPropSE,MECount,MECountSE,MDProp,MDPropSE,MDCount,MDCountSE,MAProp,MAPropSE,MACount,MACountSE,MIProp,MIPropSE,MICount,MICountSE,MNProp,MNPropSE,MNCount,MNCountSE,MSProp,MSPropSE,MSCount,MSCountSE,MOProp,MOPropSE,MOCount,MOCountSE,MTProp,MTPropSE,MTCount,MTCountSE,NEProp,NEPropSE,NECount,NECountSE,NVProp,NVPropSE,NVCount,NVCountSE,NHProp,NHPropSE,NHCount,NHCountSE,NJProp,NJPropSE,NJCount,NJCountSE,NMProp,NMPropSE,NMCount,NMCountSE,NYProp,NYPropSE,NYCount,NYCountSE,NCProp,NCPropSE,NCCount,NCCountSE,NDProp,NDPropSE,NDCount,NDCountSE,OHProp,OHPropSE,OHCount,OHCountSE,OKProp,OKPropSE,OKCount,OKCountSE,ORProp,ORPropSE,ORCount,ORCountSE,PAProp,PAPropSE,PACount,PACountSE,RIProp,RIPropSE,RICount,RICountSE,SCProp,SCPropSE,SCCount,SCCountSE,SDProp,SDPropSE,SDCount,SDCountSE,TNProp,TNPropSE,TNCount,TNCountSE,TXProp,TXPropSE,TXCount,TXCountSE,UTProp,UTPropSE,UTCount,UTCountSE,VTProp,VTPropSE,VTCount,VTCountSE,VAProp,VAPropSE,VACount,VACountSE,WAProp,WAPropSE,WACount,WACountSE,WVProp,WVPropSE,WVCount,WVCountSE,WIProp,WIPropSE,WICount,WICountSE,WYProp,WYPropSE,WYCount,WYCountSE
Nov 1994,isHouseholder,Household Reference Person in Universe: Non-Institutional,,1,0,99708018,233531,1,0,1668675,64610,1,0,208595,8703,1,0,1610328,66338,1,0,952203,38109,1,0,11432345,183904,1,0,1435110,54865,1,0,1285592,59907,1,0,274567,12469,1,0,267663,11741,1,0,5657096,114019,1,0,2673673,93007,1,0,408744,21611,1,0,411766,16444,1,0,4430662,94123,1,0,2158646,97176,1,0,1102615,43842,1,0,980574,38385,1,0,1532080,62608,1,0,1571716,65019,1,0,473056,20971,1,0,1992430,87926,1,0,2371069,50359,1,0,3693788,76573,1,0,1809317,72880,1,0,960381,37944,1,0,1979502,86630,1,0,338956,12623,1,0,643136,25782,1,0,583798,25198,1,0,427922,21431,1,0,2967575,61496,1,0,615782,24278,1,0,7191198,117114,1,0,2697423,57899,1,0,244686,9299,1,0,4326601,86790,1,0,1272568,47202,1,0,1190960,49935,1,0,4666061,91618,1,0,401432,17902,1,0,1373450,59692,1,0,271275,10676,1,0,2072162,81868,1,0,6784229,140299,1,0,605439,25452,1,0,226026,10819,1,0,2411191,81512,1,0,2201373,88238,1,0,752405,29310,1,0,1916700,70578,1,0,183476,7697
Nov 1994,isPerson,Person in Universe: Ages 3+ Not Active-Duty Military,,1,0,248509799,723058,1,0,4073843,87296,1,0,549019,14384,1,0,3838642,88963,1,0,2349494,54603,1,0,29833154,292045,1,0,3478339,71427,1,0,3121902,81282,1,0,668702,16783,1,0,546349,15437,1,0,13402421,157053,1,0,6763053,164422,1,0,1044237,37069,1,0,1133715,28467,1,0,11226180,146314,1,0,5591779,153418,1,0,2588227,56586,1,0,2345988,53414,1,0,3713636,81949,1,0,3945503,91966,1,0,1248847,32678,1,0,4614652,112726,1,0,5668208,70660,1,0,9044709,109105,1,0,4314360,98722,1,0,2613567,66232,1,0,5008637,127530,1,0,824168,17370,1,0,1494363,33579,1,0,1405781,36197,1,0,1129251,30839,1,0,7531215,90506,1,0,1604886,38339,1,0,17582458,183641,1,0,6684073,88704,1,0,593901,13870,1,0,10715484,119904,1,0,3173878,67894,1,0,2914641,65976,1,0,11367737,130852,1,0,923103,24058,1,0,3586678,95533,1,0,667201,14932,1,0,4895851,104056,1,0,17789235,234245,1,0,1791096,44620,1,0,560296,15154,1,0,6238561,155582,1,0,5103906,118284,1,0,1770883,45537,1,0,4984995,107785,1,0,448994,10524
Nov 1994,computerAtHome,"Anyone in Household Uses a Desktop, Laptop, or Tablet at Home",isHouseholder,0.242794,0.002097,24208471,216845,0.148835,0.013716,248357,24727,0.391523,0.020376,81670,5391,0.277509,0.018504,446880,34955,0.1619,0.014462,154162,14935,0.30791,0.007658,3520137,103840,0.339573,0.01815,487325,31855,0.283824,0.02083,364882,31334,0.251303,0.019576,68999,6171,0.209145,0.017779,55980,5330,0.225184,0.008523,1273889,54277,0.190634,0.013493,509693,39784,0.327034,0.024115,133673,11627,0.328091,0.018576,135097,9176,0.234696,0.009163,1039861,46145,0.213797,0.018344,461513,44436,0.26009,0.01752,286779,22408,0.274942,0.017588,269601,20225,0.164976,0.015128,252756,25289,0.154953,0.014847,243543,25284,0.236433,0.018729,111846,10080,0.318748,0.020759,635084,50243,0.262093,0.009494,621440,26016,0.246434,0.009066,910276,38261,0.282727,0.018235,511542,38885,0.136647,0.013645,131233,14092,0.274635,0.019854,543641,46408,0.231913,0.015781,78609,6087,0.235561,0.017086,151498,12544,0.249735,0.018604,145795,12465,0.383943,0.024499,164298,13385,0.258278,0.009209,766460,31462,0.245669,0.016971,151279,11980,0.207003,0.006872,1488598,55268,0.189693,0.008465,511683,25164,0.23191,0.016315,56745,4569,0.216714,0.008422,937635,40921,0.224414,0.015491,285582,22300,0.31681,0.01946,377308,27807,0.194043,0.007925,905417,40966,0.219692,0.018574,88191,8437,0.188418,0.017036,258782,25929,0.208368,0.016017,56525,4871,0.178998,0.015229,370913,34789,0.227992,0.00882,1546748,67650,0.38679,0.020535,234178,15786,0.308671,0.022512,69768,6180,0.306894,0.015668,739981,45156,0.309609,0.018628,681565,49244,0.161853,0.014178,121779,11590,0.242546,0.01591,464888,35003,0.296431,0.019261,54388,4207
Nov 1994,isAdult,Person Ages 15+,isPerson,0.810185,0.001394,201338994,512792,0.812031,0.010667,3308088,63541,0.774873,0.011912,425421,10463,0.817266,0.012157,3137190,61558,0.816886,0.011438,1919269,37159,0.80258,0.004606,23943488,202980,0.817588,0.010661,2843847,50414,0.822347,0.012903,2567288,57512,0.833594,0.012277,557426,12570,0.833678,0.013089,455479,11462,0.824353,0.006009,11048329,110200,0.798922,0.010348,5403155,121977,0.842032,0.011133,879280,28777,0.757656,0.012481,858966,17806,0.80749,0.006198,9065029,100983,0.798964,0.011687,4467633,112763,0.839153,0.011574,2171919,40802,0.821489,0.011721,1927203,38105,0.804333,0.011119,2987001,57082,0.819561,0.011339,3233578,64142,0.776808,0.013492,970115,22591,0.848785,0.010925,3916847,89541,0.836849,0.006076,4743436,52604,0.813155,0.006187,7354749,77116,0.797048,0.011884,3438753,65730,0.773587,0.012079,2021821,42752,0.810944,0.012112,4061725,87003,0.799366,0.010777,658812,11999,0.817194,0.011633,1221185,23606,0.811246,0.012572,1140434,23879,0.783697,0.014998,884990,19919,0.829685,0.005999,6248539,66836,0.774628,0.012415,1243189,24349,0.81511,0.004969,14331643,133496,0.821861,0.006394,5493379,64136,0.803662,0.011108,477296,9583,0.805631,0.005927,8632729,82533,0.781474,0.010678,2480303,43846,0.835349,0.011329,2434743,47956,0.831844,0.005766,9456183,94479,0.834087,0.012917,769948,16938,0.795584,0.012389,2853504,68672,0.795224,0.011039,530574,10302,0.83589,0.010952,4092392,76874,0.783998,0.006288,13946731,162675,0.759279,0.011894,1359943,28446,0.809655,0.013615,453647,9760,0.809601,0.009606,5050748,114306,0.804035,0.011291,4103718,85470,0.832422,0.01074,1474123,34048,0.789043,0.011042,3933376,71314,0.801415,0.011327,359831,7207
Oct 1997,isHouseholder,Household Reference Person in Universe: Non-Institutional,,1,0,102741556,223547,1,0,1630694,64337,1,0,216691,9541,1,0,1765753,66770,1,0,1027277,39192,1,0,11668071,189505,1,0,1539084,57757,1,0,1262679,57368,1,0,278685,12976,1,0,247071,10693,1,0,5956883,121105,1,0,2944626,103316,1,0,410970,19997,1,0,437028,16723,1,0,4440529,101580,1,0,2259805,88278,1,0,1147354,44580,1,0,1008257,40325,1,0,1567028,62137,1,0,1596413,63813,1,0,496746,21543,1,0,1960730,85117,1,0,2425888,70440,1,0,3685301,90903,1,0,1800365,68857,1,0,1032276,42948,1,0,2167561,90251,1,0,357948,13634,1,0,641138,25391,1,0,656621,26435,1,0,466157,21459,1,0,2956544,78883,1,0,660347,25823,1,0,7027773,124240,1,0,2946695,83852,1,0,245624,9482,1,0,4431753,105251,1,0,1338016,48748,1,0,1282020,52616,1,0,4669235,104545,1,0,385945,17139,1,0,1410564,60868,1,0,273562,10712,1,0,2164811,87953,1,0,7166058,147770,1,0,637462,25876,1,0,237913,10643,1,0,2619058,95146,1,0,2219608,86810,1,0,751435,28669,1,0,2024459,76656,1,0,197046,8005
Oct 1997,isPerson,Person in Universe: Ages 3+ Not Active-Duty Military,,1,0,255688666,729457,1,0,4173177,90500,1,0,575943,14322,1,0,4459177,96664,1,0,2356740,50475,1,0,30876689,306021,1,0,3790222,79104,1,0,3106854,79762,1,0,710302,18834,1,0,492315,14384,1,0,13836974,163158,1,0,7198558,132181,1,0,1106079,29966,1,0,1185423,28335,1,0,11237775,146657,1,0,5666981,117206,1,0,2694457,57647,1,0,2463028,53886,1,0,3754725,77921,1,0,4127461,98831,1,0,1199227,27553,1,0,4591025,104034,1,0,5920355,97721,1,0,9183915,131591,1,0,4357149,91743,1,0,2563708,60606,1,0,5095040,118117,1,0,858799,17814,1,0,1601636,35053,1,0,1626033,41472,1,0,1138643,30867,1,0,7635428,115102,1,0,1761451,39370,1,0,17589762,191271,1,0,6939885,110061,1,0,609288,13483,1,0,10932484,161295,1,0,3128742,63307,1,0,3240172,76136,1,0,11513445,149038,1,0,908536,22816,1,0,3580164,79819,1,0,700970,16486,1,0,5108403,107613,1,0,18602147,218517,1,0,1905461,45925,1,0,569660,14074,1,0,6470097,126814,1,0,5359857,117741,1,0,1729260,35740,1,0,4988102,106477,1,0,466942,10367
Oct 1997,computerAtHome,"Anyone in Household Uses a Desktop, Laptop, or Tablet at Home",isHouseholder,0.367715,0.002437,37779586,263165,0.294788,0.018198,480709,35395,0.560672,0.021984,121493,7145,0.400275,0.018587,706787,41914,0.235733,0.016112,242163,18796,0.433186,0.008364,5054448,127741,0.52223,0.018898,803756,41522,0.36583,0.021714,461926,33750,0.372524,0.022609,103817,7934,0.349583,0.020721,86372,6324,0.329706,0.009742,1964022,69930,0.351725,0.016816,1035699,60967,0.354699,0.023397,145770,11961,0.445763,0.019159,194811,11222,0.356326,0.011025,1582275,59567,0.340031,0.018594,768404,51491,0.337558,0.018537,387299,26126,0.420964,0.019717,424440,25490,0.306408,0.018283,480150,34155,0.259843,0.017484,414816,32227,0.36476,0.020938,181193,12978,0.439198,0.021649,861148,56408,0.39429,0.014334,956504,44290,0.351238,0.011883,1294419,53547,0.394009,0.018815,709359,43364,0.213402,0.017182,220290,19987,0.383284,0.020435,830791,56590,0.361607,0.018319,129437,8119,0.372333,0.019268,238717,15549,0.339674,0.019059,223037,15254,0.502807,0.023129,234387,15259,0.393746,0.013176,1164129,49403,0.381644,0.01906,252017,15874,0.325078,0.008526,2284573,71968,0.303623,0.01308,894685,45529,0.332201,0.018272,81596,5468,0.36429,0.011607,1614442,63853,0.305786,0.016876,409147,26984,0.409368,0.020282,524819,33661,0.322475,0.010593,1505714,59234,0.344845,0.021263,133091,10144,0.312654,0.019952,441019,33652,0.336135,0.018589,91954,6215,0.331914,0.019339,718531,51341,0.364178,0.010121,2609720,89651,0.52726,0.020386,336108,18907,0.470677,0.022441,111980,7310,0.44789,0.018207,1173050,63950,0.462616,0.019636,1026826,59329,0.242022,0.016394,181864,14100,0.398471,0.018609,806687,48105,0.401914,0.020064,79195,5110
Oct 1997,isAdult,Person Ages 15+,isPerson,0.812425,0.001428,207727920,511768,0.816477,0.010274,3407304,67090,0.774004,0.012025,445782,9438,0.808707,0.00993,3606169,66165,0.834998,0.01069,1967872,35561,0.794461,0.004855,24530333,208908,0.805117,0.011008,3051571,51838,0.830501,0.013605,2580244,59131,0.817901,0.012996,580957,13652,0.864507,0.013155,425610,10529,0.834443,0.005862,11546163,114916,0.807028,0.009507,5809438,91228,0.801834,0.01337,886892,22174,0.784999,0.011334,930556,18362,0.814259,0.00656,9150457,107609,0.807749,0.010752,4577498,79712,0.827888,0.011286,2230709,38895,0.800125,0.011701,1970731,36287,0.819159,0.010769,3075716,54395,0.805963,0.010503,3326582,72104,0.835755,0.012174,1002260,21381,0.863296,0.010501,3963411,77706,0.820204,0.008598,4855899,69574,0.813033,0.007385,7466828,91461,0.82815,0.011541,3608374,64226,0.821637,0.011273,2106438,43750,0.816745,0.011607,4161349,82651,0.816286,0.010551,701026,12353,0.801134,0.011602,1283125,24386,0.804773,0.01234,1308588,27229,0.810254,0.013311,922590,20091,0.82317,0.007166,6285256,85508,0.764192,0.011806,1346087,26179,0.809693,0.005233,14242310,137868,0.828613,0.007613,5750479,79736,0.807634,0.011999,492081,8818,0.801814,0.007176,8765820,111236,0.813878,0.010779,2546416,41303,0.808275,0.01134,2618950,52233,0.82351,0.006727,9481442,103339,0.846233,0.012392,768833,17323,0.818121,0.011587,2929007,57273,0.803099,0.011898,562949,11469,0.834499,0.010709,4262958,80995,0.795485,0.005922,14797721,153017,0.781344,0.0122,1488821,30206,0.815724,0.012577,464685,9701,0.801738,0.010631,5187323,91477,0.815081,0.010831,4368716,78490,0.85817,0.0103,1484000,26592,0.807105,0.011038,4025921,70020,0.808823,0.010729,377674,7067
Dec 1998,isHouseholder,Household Reference Person in Universe: Non-Institutional,,1,0,104174641,231608,1,0,1688438,66738,1,0,222611,9780,1,0,1764439,65217,1,0,1030387,39938,1,0,11814611,193347,1,0,1572832,58073,1,0,1254539,56440,1,0,292247,13049,1,0,235068,10324,1,0,6047390,121236,1,0,2951817,104465,1,0,417473,20419,1,0,445591,17556,1,0,4508956,104327,1,0,2337591,91746,1,0,1161753,45110,1,0,1057912,42660,1,0,1600328,61807,1,0,1607131,64690,1,0,519433,21926,1,0,2108180,92247,1,0,2406815,69403,1,0,3794831,94510,1,0,1865172,70198,1,0,1087393,46446,1,0,2202645,92880,1,0,353818,13397,1,0,658708,26135,1,0,667406,26903,1,0,453179,19858,1,0,2936614,77473,1,0,652882,25760,1,0,6986513,124487,1,0,2956634,82619,1,0,248322,9705,1,0,4491630,108419,1,0,1308497,48194,1,0,1313233,53563,1,0,4595305,101706,1,0,374914,16230,1,0,1493081,63667,1,0,280994,11611,1,0,2230004,89837,1,0,7339846,151712,1,0,677519,28370,1,0,240669,10628,1,0,2687098,98186,1,0,2252857,89391,1,0,751793,28282,1,0,2042075,78460,1,0,185468,7378
Dec 1998,isPerson,Person in Universe: Ages 3+ Not Active-Duty Military,,1,0,258452907,750026,1,0,4154168,91161,1,0,567204,13479,1,0,4511933,103687,1,0,2416119,54577,1,0,31375380,325354,1,0,3852150,78149,1,0,3139804,81817,1,0,730335,18155,1,0,498555,16788,1,0,14107698,161782,1,0,7413755,144175,1,0,1115023,33592,1,0,1243948,29339,1,0,11367069,161183,1,0,5581919,118199,1,0,2748127,60308,1,0,2528847,58416,1,0,3872390,78395,1,0,4127952,96312,1,0,1198787,27442,1,0,4689405,108834,1,0,5939116,97518,1,0,9447608,127702,1,0,4554429,97420,1,0,2631814,65213,1,0,5010322,116478,1,0,859473,18943,1,0,1591585,34880,1,0,1735800,43959,1,0,1175592,29195,1,0,7769861,118691,1,0,1727047,40480,1,0,17437185,195501,1,0,7076589,110730,1,0,611794,13371,1,0,10756455,151872,1,0,3147700,61781,1,0,3292364,74889,1,0,11461321,148308,1,0,928425,22734,1,0,3617423,85186,1,0,707813,15825,1,0,5215156,114007,1,0,18941468,223840,1,0,1980960,46918,1,0,569095,14919,1,0,6480900,133697,1,0,5452694,124070,1,0,1736404,34369,1,0,4877544,102973,1,0,478401,10822
